Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
19/9/20,Jiří Pavlenka,Bundesliga,Matchweek 1,Home,L 1–4,Werder Bremen,Hertha BSC,Y,GK,90,6,4,2,33.3,0,2.1,0,0,0,0,6,10,60,16,7,31.3,33.4,8,62.5,47.8,6,0,0,0,11.2
26/9/20,Jiří Pavlenka,Bundesliga,Matchweek 2,Away,W 3–1,Werder Bremen,Schalke 04,Y,GK,90,4,1,3,75,0,0.4,0,0,0,0,5,16,31.3,19,4,63.2,50.5,4,100,64,10,0,0,0,9.8
3/10/20,Jiří Pavlenka,Bundesliga,Matchweek 3,Home,W 1–0,Werder Bremen,Arminia,Y,GK,90,4,0,4,100,1,1,0,0,0,0,12,25,48,29,5,65.5,50.1,6,100,70.3,7,0,0,1,13.2
17/10/20,Jiří Pavlenka,Bundesliga,Matchweek 4,Away,D 1–1,Werder Bremen,Freiburg,Y,GK,90,4,1,3,75,0,0.7,0,0,0,0,10,20,50,23,4,60.9,45,11,54.5,47,16,1,6.3,1,14.1
25/10/20,Jiří Pavlenka,Bundesliga,Matchweek 5,Home,D 1–1,Werder Bremen,Hoffenheim,Y,GK,90,4,1,3,75,0,0.9,0,0,0,0,5,13,38.5,26,6,23.1,31,9,77.8,53.1,15,1,6.7,1,13.8
31/10/20,Jiří Pavlenka,Bundesliga,Matchweek 6,Away,D 1–1,Werder Bremen,Eint Frankfurt,Y,GK,90,5,1,4,80,0,1.8,0,0,0,0,12,27,44.4,27,6,66.7,52,10,90,67.6,18,2,11.1,0,7.7
6/11/20,Jiří Pavlenka,Bundesliga,Matchweek 7,Home,D 1–1,Werder Bremen,Köln,Y,GK,90,1,1,1,0,0,0.1,0,0,0,0,1,2,50,19,2,10.5,22.8,1,0,22,9,0,0,0,15
21/11/20,Jiří Pavlenka,Bundesliga,Matchweek 8,Away,D 1–1,Werder Bremen,Bayern Munich,Y,GK,90,2,1,1,50,0,0.9,0,0,0,0,11,23,47.8,21,9,52.4,38,17,70.6,47,14,2,14.3,0,5.3
27/11/20,Jiří Pavlenka,Bundesliga,Matchweek 9,Away,L 3–5,Werder Bremen,Wolfsburg,Y,GK,90,6,5,1,16.7,0,2.1,0,0,0,0,5,13,38.5,27,9,40.7,37.2,6,33.3,31.3,10,0,0,1,12.7
6/12/20,Jiří Pavlenka,Bundesliga,Matchweek 10,Home,L 1–2,Werder Bremen,Stuttgart,Y,GK,90,5,2,4,80,0,2.1,1,1,0,0,8,13,61.5,28,3,42.9,37,6,16.7,17,6,0,0,1,28
12/12/20,Jiří Pavlenka,Bundesliga,Matchweek 11,Away,L 0–2,Werder Bremen,RB Leipzig,Y,GK,90,6,2,5,83.3,0,2.2,1,1,0,0,3,11,27.3,36,7,27.8,29.2,6,16.7,23.7,4,1,25,1,18.3
15/12/20,Jiří Pavlenka,Bundesliga,Matchweek 12,Home,L 1–2,Werder Bremen,Dortmund,Y,GK,90,8,2,6,75,0,2.7,1,0,1,0,10,21,47.6,40,3,50,37.6,6,16.7,29.7,6,0,0,1,28
19/12/20,Jiří Pavlenka,Bundesliga,Matchweek 13,Away,W 1–0,Werder Bremen,Mainz 05,Y,GK,90,1,0,1,100,1,0,0,0,0,0,5,9,55.6,29,3,24.1,28.4,9,22.2,30.9,12,1,8.3,0,15
2/1/21,Jiří Pavlenka,Bundesliga,Matchweek 14,Home,L 0–2,Werder Bremen,Union Berlin,Y,GK,90,2,2,0,0,0,1.6,0,0,0,0,5,8,62.5,22,6,18.2,26.1,8,50,38.4,5,2,40,0,13.4
9/1/21,Jiří Pavlenka,Bundesliga,Matchweek 15,Away,D 1–1,Werder Bremen,Leverkusen,Y,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,14,25,56,20,2,80,52.9,12,75,47.4,18,0,0,2,17.4
16/1/21,Jiří Pavlenka,Bundesliga,Matchweek 16,Home,W 2–0,Werder Bremen,Augsburg,Y,GK,90,1,0,1,100,1,0.4,0,0,0,0,4,16,25,31,4,29,29.8,10,70,51.6,7,0,0,0,14.8
19/1/21,Jiří Pavlenka,Bundesliga,Matchweek 17,Away,L 0–1,Werder Bremen,M'Gladbach,Y,GK,90,6,1,5,83.3,0,0.6,0,0,0,0,3,13,23.1,30,5,36.7,34.4,4,50,48,9,0,0,2,23.3
23/1/21,Jiří Pavlenka,Bundesliga,Matchweek 18,Away,W 4–1,Werder Bremen,Hertha BSC,Y,GK,90,9,1,8,88.9,0,1.9,1,0,1,0,12,23,52.2,25,7,60,50.3,8,100,63.8,23,2,8.7,0,14.7
30/1/21,Jiří Pavlenka,Bundesliga,Matchweek 19,Home,D 1–1,Werder Bremen,Schalke 04,Y,GK,90,1,1,0,0,0,0.4,0,0,0,0,6,9,66.7,17,2,35.3,38.4,10,30,32.2,5,0,0,0,8.5
10/3/21,Jiří Pavlenka,Bundesliga,Matchweek 20,Away,W 2–0,Werder Bremen,Arminia,Y,GK,90,6,0,6,100,1,1.4,0,0,0,0,7,18,38.9,16,4,62.5,44.4,16,50,42.9,10,0,0,1,15.3
13/2/21,Jiří Pavlenka,Bundesliga,Matchweek 21,Home,D 0–0,Werder Bremen,Freiburg,Y,GK,90,2,0,2,100,1,0.9,0,0,0,0,7,12,58.3,38,7,26.3,29.9,7,28.6,33.4,12,1,8.3,1,18.9
21/2/21,Jiří Pavlenka,Bundesliga,Matchweek 22,Away,L 0–4,Werder Bremen,Hoffenheim,Y,GK,90,6,4,2,33.3,0,2,0,0,0,0,4,9,44.4,25,8,28,33.2,7,28.6,28.7,9,0,0,3,19.5
26/2/21,Jiří Pavlenka,Bundesliga,Matchweek 23,Home,W 2–1,Werder Bremen,Eint Frankfurt,Y,GK,90,4,1,3,75,0,1,0,0,0,0,9,19,47.4,24,2,58.3,42.4,10,50,40.5,18,0,0,1,9
7/3/21,Jiří Pavlenka,Bundesliga,Matchweek 24,Away,D 1–1,Werder Bremen,Köln,Y,GK,90,4,1,3,75,0,1.5,0,0,0,0,9,22,40.9,16,3,81.3,53.1,14,64.3,49,24,0,0,0,9.5
13/3/21,Jiří Pavlenka,Bundesliga,Matchweek 25,Home,L 1–3,Werder Bremen,Bayern Munich,Y,GK,90,5,3,2,40,0,1.8,0,0,0,0,11,21,52.4,33,7,51.5,39.3,12,33.3,34.1,17,0,0,0,9.6
20/3/21,Jiří Pavlenka,Bundesliga,Matchweek 26,Home,L 1–2,Werder Bremen,Wolfsburg,Y,GK,90,3,2,2,33.3,0,0.4,0,0,0,0,12,19,63.2,27,0,55.6,40.5,9,44.4,39.3,12,3,25,0,21
4/4/21,Jiří Pavlenka,Bundesliga,Matchweek 27,Away,L 0–1,Werder Bremen,Stuttgart,Y,GK,90,3,1,3,66.7,0,0.1,0,0,0,0,7,19,36.8,30,9,43.3,36.4,10,60,41.7,10,1,10,2,14.8
10/4/21,Jiří Pavlenka,Bundesliga,Matchweek 28,Home,L 1–4,Werder Bremen,RB Leipzig,Y,GK,90,4,4,0,0,0,1.9,0,0,0,0,6,12,50,27,3,40.7,38.4,5,20,27.2,3,0,0,1,18.2
18/4/21,Jiří Pavlenka,Bundesliga,Matchweek 29,Away,L 1–4,Werder Bremen,Dortmund,Y,GK,90,7,4,4,57.1,0,3,1,1,0,0,3,9,33.3,22,6,27.3,33.3,9,33.3,40.3,11,1,9.1,0,12.1
21/4/21,Jiří Pavlenka,Bundesliga,Matchweek 30,Home,L 0–1,Werder Bremen,Mainz 05,Y,GK,90,5,1,4,80,0,1.1,0,0,0,0,8,15,53.3,23,4,52.2,39.9,7,42.9,38.9,5,0,0,0,12.8
24/4/21,Jiří Pavlenka,Bundesliga,Matchweek 31,Away,L 1–3,Werder Bremen,Union Berlin,Y,GK,90,6,3,3,50,0,3.3,0,0,0,0,4,15,26.7,18,3,50,41.6,7,85.7,60,10,1,10,0,11
8/5/21,Jiří Pavlenka,Bundesliga,Matchweek 32,Home,D 0–0,Werder Bremen,Leverkusen,Y,GK,90,4,0,4,100,1,0.4,0,0,0,0,8,18,44.4,28,4,42.9,41.3,8,75,59.6,7,0,0,0,13
15/5/21,Jiří Pavlenka,Bundesliga,Matchweek 33,Away,L 0–2,Werder Bremen,Augsburg,Y,GK,90,5,2,4,80,0,2.3,1,1,0,0,4,7,57.1,26,6,19.2,28.6,8,25,31.4,8,1,12.5,1,20.4
19/9/20,Alexander Schwolow,Bundesliga,Matchweek 1,Away,W 4–1,Hertha BSC,Werder Bremen,Y,GK,90,6,1,5,83.3,0,1,0,0,0,0,11,20,55,39,6,28.2,33.2,10,90,67.3,10,2,20,1,10.9
25/9/20,Alexander Schwolow,Bundesliga,Matchweek 2,Home,L 1–3,Hertha BSC,Eint Frankfurt,Y,GK,90,2,3,0,0,0,1.6,1,1,0,0,10,12,83.3,23,2,30.4,31.1,10,50,36.1,6,0,0,1,25.3
4/10/20,Alexander Schwolow,Bundesliga,Matchweek 3,Away,L 3–4,Hertha BSC,Bayern Munich,Y,GK,90,8,4,5,62.5,0,4,1,1,0,0,4,16,25,17,1,52.9,42.2,11,63.6,52.3,16,1,6.3,0,8
17/10/20,Alexander Schwolow,Bundesliga,Matchweek 4,Home,L 0–2,Hertha BSC,Stuttgart,Y,GK,90,2,2,0,0,0,0.8,0,0,0,0,10,17,58.8,40,10,40,35.7,8,12.5,21.6,7,0,0,1,16.3
24/10/20,Alexander Schwolow,Bundesliga,Matchweek 5,Away,L 1–2,Hertha BSC,RB Leipzig,Y,GK,90,7,2,6,85.7,0,2.9,1,1,0,0,8,28,28.6,29,5,48.3,38.9,19,73.7,57.2,14,2,14.3,0,18.3
1/11/20,Alexander Schwolow,Bundesliga,Matchweek 6,Home,D 1–1,Hertha BSC,Wolfsburg,Y,GK,90,4,1,3,75,0,0.6,0,0,0,0,6,14,42.9,26,4,50,37.9,7,14.3,29.1,5,0,0,1,23.5
7/11/20,Alexander Schwolow,Bundesliga,Matchweek 7,Away,W 3–0,Hertha BSC,Augsburg,Y,GK,90,1,0,1,100,1,0.2,0,0,0,0,2,6,33.3,23,5,13,30.8,6,50,45.8,7,2,28.6,1,14.2
21/11/20,Alexander Schwolow,Bundesliga,Matchweek 8,Home,L 2–5,Hertha BSC,Dortmund,Y,GK,90,8,5,3,37.5,0,4,0,0,0,0,6,14,42.9,28,2,42.9,36.4,7,28.6,27.3,4,0,0,0,8.3
