Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2020-09-12,Marek Rodák,Matchweek 1,Home,L 0–3,Fulham,Arsenal,Y,GK,90,5,3,2,40.0,0,2.5,0,0,0,0,6,12,50.0,22,3,40.9,35.8,4,75.0,56.0,9,0,0.0,1,11.8
2021-05-23,Marek Rodák,Matchweek 38,Home,L 0–2,Fulham,Newcastle Utd,Y,GK,90,3,2,2,66.7,0,1.5,1,1,0,0,1,2,50.0,17,4,11.8,23.8,3,0.0,12.7,7,2,28.6,0,18.5
2020-09-12,Bernd Leno,Matchweek 1,Away,W 3–0,Arsenal,Fulham,Y,GK,90,2,0,2,100.0,1,0.0,0,0,0,0,1,1,100.0,28,2,0.0,18.4,4,25.0,23.8,9,1,11.1,1,16.5
2020-09-19,Bernd Leno,Matchweek 2,Home,W 2–1,Arsenal,West Ham,Y,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,3,3,100.0,28,5,7.1,22.3,5,20.0,21.0,9,1,11.1,2,23.2
2020-09-28,Bernd Leno,Matchweek 3,Away,L 1–3,Arsenal,Liverpool,Y,GK,90,9,3,6,66.7,0,2.9,0,0,0,0,2,6,33.3,30,4,16.7,25.4,9,11.1,14.9,12,1,8.3,2,17.8
2020-10-04,Bernd Leno,Matchweek 4,Home,W 2–1,Arsenal,Sheffield Utd,Y,GK,90,2,1,1,50.0,0,0.6,0,0,0,0,1,8,12.5,38,1,10.5,26.7,9,44.4,41.4,12,0,0.0,0,9.0
2020-10-17,Bernd Leno,Matchweek 5,Away,L 0–1,Arsenal,Manchester City,Y,GK,90,5,1,4,80.0,0,1.2,0,0,0,0,6,13,46.2,45,4,24.4,25.1,4,50.0,42.3,5,0,0.0,1,16.8
2020-10-25,Bernd Leno,Matchweek 6,Home,L 0–1,Arsenal,Leicester City,Y,GK,90,3,1,2,66.7,0,0.8,0,0,0,0,2,3,66.7,24,7,8.3,22.0,2,50.0,30.5,3,0,0.0,2,17.9
2020-11-01,Bernd Leno,Matchweek 7,Away,W 1–0,Arsenal,Manchester Utd,Y,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,6,16,37.5,42,0,33.3,36.3,4,50.0,43.5,11,1,9.1,0,16.5
2020-11-08,Bernd Leno,Matchweek 8,Home,L 0–3,Arsenal,Aston Villa,Y,GK,90,5,3,3,40.0,0,1.4,0,0,0,0,1,2,50.0,21,0,9.5,20.9,1,0.0,28.0,5,0,0.0,1,26.0
