Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
20/12/20,Rubén Yáñez,La Liga,Matchweek 14,Away,W 2–0,Getafe,Cádiz,Y,GK,90,1,0,1,100,1,0,0,0,0,0,5,18,27.8,16,0,81.3,54.8,6,83.3,61.5,10,2,20,1,16.5
23/12/20,Rubén Yáñez,La Liga,Matchweek 15,Home,D 1–1,Getafe,Celta Vigo,Y,GK,90,1,1,1,100,0,1.4,1,1,0,0,13,24,54.2,21,2,90.5,56.4,6,83.3,60.8,8,0,0,0,10.5
30/12/20,Rubén Yáñez,La Liga,Matchweek 16,Away,L 0–1,Getafe,Atlético Madrid,Y,GK,90,3,1,2,66.7,0,0.4,0,0,0,0,13,23,56.5,25,5,80,51.1,3,100,57.7,7,1,14.3,0,12
2/1/21,Rubén Yáñez,La Liga,Matchweek 17,Home,L 0–1,Getafe,Valladolid,Y,GK,90,2,1,1,50,0,1.3,0,0,0,0,13,28,46.4,31,3,77.4,52,5,80,63.8,9,2,22.2,3,19.7
11/1/21,Rubén Yáñez,La Liga,Matchweek 18,Away,W 3–1,Getafe,Elche,Y,GK,90,4,1,3,75,0,1.2,0,0,0,0,5,9,55.6,17,3,47.1,37.4,2,50,29.5,5,0,0,0,10.7
20/1/21,Rubén Yáñez,La Liga,Matchweek 19,Home,W 1–0,Getafe,Huesca,Y,GK,90,3,0,3,100,1,1.4,0,0,0,0,7,18,38.9,19,2,63.2,42.4,8,75,48.9,8,0,0,1,15.7
25/1/21,Rubén Yáñez,La Liga,Matchweek 20,Away,L 1–5,Getafe,Athletic Club,Y,GK,90,8,5,3,37.5,0,3.4,0,0,0,0,7,21,33.3,21,3,66.7,45.1,7,100,65.6,8,0,0,0,14.5
31/1/21,Rubén Yáñez,La Liga,Matchweek 21,Home,D 0–0,Getafe,Alavés,Y,GK,90,1,0,1,100,1,0.4,0,0,0,0,2,11,18.2,19,6,42.1,40.9,5,60,55.8,2,0,0,0,10.5
6/2/21,Rubén Yáñez,La Liga,Matchweek 22,Away,L 0–3,Getafe,Sevilla,Y,GK,90,5,3,2,40,0,1.7,0,0,0,0,13,29,44.8,18,1,83.3,55.4,16,87.5,66.7,10,0,0,0,13
20/2/21,Jasper Cillessen,La Liga,Matchweek 24,Home,W 2–0,Valencia,Celta Vigo,Y,GK,90,2,0,2,100,1,0.8,0,0,0,0,6,11,54.5,14,3,57.1,42.9,5,60,47.8,7,0,0,0,12
27/2/21,Jasper Cillessen,La Liga,Matchweek 25,Away,L 0–3,Valencia,Getafe,Y,GK,90,4,3,0,25,0,2,0,0,0,0,9,26,34.6,25,6,64,50,10,100,65.2,12,1,8.3,2,16.1
5/3/21,Jasper Cillessen,La Liga,Matchweek 26,Home,W 2–1,Valencia,Villarreal,Y,GK,90,4,1,4,100,0,1.7,1,1,0,0,8,18,44.4,22,4,68.2,44.9,7,42.9,32.6,8,3,37.5,1,13.7
12/3/21,Jasper Cillessen,La Liga,Matchweek 27,Away,L 0–1,Valencia,Levante,Y,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,5,12,41.7,23,4,39.1,31.7,9,33.3,32,8,0,0,3,17.8
21/3/21,Jasper Cillessen,La Liga,Matchweek 28,Home,W 2–1,Valencia,Granada,Y,GK,90,4,1,3,75,0,0.8,0,0,0,0,7,23,30.4,22,6,68.2,47,13,61.5,56,11,0,0,0,7
2/5/21,Jasper Cillessen,La Liga,Matchweek 34,Home,L 2–3,Valencia,Barcelona,Y,GK,90,5,3,2,40,0,2.5,1,0,1,0,7,17,41.2,23,1,60.9,47,8,37.5,41.4,6,0,0,1,18.5
9/5/21,Jasper Cillessen,La Liga,Matchweek 35,Home,W 3–0,Valencia,Valladolid,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,5,21,23.8,19,2,52.6,38.4,14,78.6,57.9,18,0,0,0,18.5
12/5/21,Jasper Cillessen,La Liga,Matchweek 36,Away,L 0–1,Valencia,Sevilla,Y,GK,90,4,1,3,75,0,0.7,0,0,0,0,9,20,45,23,3,52.2,43.6,10,80,53.9,12,0,0,1,12.2
16/5/21,Jasper Cillessen,La Liga,Matchweek 37,Home,W 4–1,Valencia,Eibar,Y,GK,90,8,1,7,87.5,0,1.7,0,0,0,0,7,20,35,21,7,57.1,45.2,9,88.9,70.6,21,3,14.3,0,11
