Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2020-09-17,Steve Mandanda,Matchweek 1,Home,L 0–2,Marseille,Saint-Étienne,Y*,GK,90.0,5.0,2.0,3.0,60.0,0.0,1.6,0.0,0.0,0.0,0.0,2.0,7.0,28.6,17.0,6.0,35.3,32.6,4.0,25.0,41.5,9.0,2.0,22.2,2.0,18.1
2020-08-30,Steve Mandanda,Matchweek 2,Away,W 3–2,Marseille,Brest,Y*,GK,90.0,4.0,2.0,2.0,50.0,0.0,2.4,0.0,0.0,0.0,0.0,8.0,27.0,29.6,30.0,11.0,46.7,42.6,14.0,92.9,61.1,20.0,3.0,15.0,0.0,10.5
2020-09-13,Steve Mandanda,Matchweek 3,Away,W 1–0,Marseille,Paris S-G,Y*,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.8,0.0,0.0,0.0,0.0,15.0,26.0,57.7,16.0,3.0,75.0,49.0,15.0,93.3,59.2,20.0,1.0,5.0,0.0,11.5
2020-09-20,Steve Mandanda,Matchweek 4,Home,D 1–1,Marseille,Lille,Y*,GK,90.0,7.0,1.0,6.0,85.7,0.0,1.0,0.0,0.0,0.0,0.0,6.0,22.0,27.3,35.0,11.0,45.7,36.9,8.0,75.0,53.6,6.0,0.0,0.0,0.0,13.6
2020-09-26,Steve Mandanda,Matchweek 5,Home,D 1–1,Marseille,Metz,Y*,GK,90.0,2.0,1.0,1.0,50.0,0.0,1.2,0.0,0.0,0.0,0.0,4.0,6.0,66.7,28.0,6.0,21.4,29.0,6.0,0.0,14.3,8.0,1.0,12.5,1.0,15.4
2020-10-04,Steve Mandanda,Matchweek 6,Away,D 1–1,Marseille,Lyon,Y*,GK,90.0,2.0,1.0,2.0,100.0,0.0,1.5,1.0,1.0,0.0,0.0,4.0,23.0,17.4,23.0,5.0,56.5,44.9,16.0,62.5,50.8,25.0,1.0,4.0,2.0,10.5
2020-10-17,Steve Mandanda,Matchweek 7,Home,W 3–1,Marseille,Bordeaux,Y*,GK,90.0,4.0,1.0,3.0,75.0,0.0,1.2,0.0,0.0,0.0,0.0,6.0,19.0,31.6,42.0,7.0,45.2,37.9,0.0,0.0,0.0,6.0,2.0,33.3,0.0,11.6
2020-10-24,Steve Mandanda,Matchweek 8,Away,W 1–0,Marseille,Lorient,Y*,GK,90.0,3.0,0.0,3.0,100.0,1.0,0.1,0.0,0.0,0.0,0.0,6.0,17.0,35.3,27.0,7.0,22.2,27.4,13.0,84.6,58.3,13.0,0.0,0.0,1.0,11.3
2021-01-20,Steve Mandanda,Matchweek 9,Home,L 0–1,Marseille,Lens,Y*,GK,90.0,4.0,1.0,3.0,75.0,0.0,0.7,0.0,0.0,0.0,0.0,8.0,15.0,53.3,27.0,5.0,33.3,37.6,7.0,85.7,64.9,8.0,0.0,0.0,1.0,16.0
2020-11-06,Steve Mandanda,Matchweek 10,Away,W 1–0,Marseille,Strasbourg,Y*,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.9,0.0,0.0,0.0,0.0,6.0,17.0,35.3,23.0,2.0,43.5,41.9,8.0,87.5,59.1,17.0,2.0,11.8,1.0,18.3
2021-02-17,Steve Mandanda,Matchweek 11,Home,W 3–2,Marseille,Nice,Y*,GK,90.0,4.0,2.0,2.0,50.0,0.0,1.5,0.0,0.0,0.0,0.0,10.0,25.0,40.0,36.0,4.0,55.6,45.9,7.0,71.4,49.7,9.0,0.0,0.0,0.0,15.7
2020-11-28,Steve Mandanda,Matchweek 12,Home,W 3–1,Marseille,Nantes,Y*,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,13.0,15.4,36.0,4.0,30.6,32.6,2.0,100.0,69.0,10.0,0.0,0.0,0.0,15.0
2020-12-04,Steve Mandanda,Matchweek 13,Away,W 2–0,Marseille,Nîmes,Y*,GK,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,53.8,36.0,6.0,25.0,30.1,8.0,50.0,39.6,5.0,0.0,0.0,1.0,17.0
2020-12-12,Steve Mandanda,Matchweek 14,Home,W 2–1,Marseille,Monaco,Y*,GK,90.0,3.0,1.0,3.0,100.0,0.0,1.3,1.0,1.0,0.0,0.0,3.0,31.0,9.7,28.0,3.0,82.1,60.8,8.0,100.0,65.4,13.0,0.0,0.0,0.0,9.4
2020-12-16,Steve Mandanda,Matchweek 15,Away,L 1–2,Marseille,Rennes,Y*,GK,90.0,5.0,2.0,3.0,60.0,0.0,1.1,0.0,0.0,0.0,0.0,8.0,26.0,30.8,25.0,1.0,80.0,53.6,6.0,100.0,54.7,18.0,4.0,22.2,0.0,9.8
2020-12-19,Steve Mandanda,Matchweek 16,Home,D 1–1,Marseille,Reims,Y*,GK,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,23.0,6.0,4.3,20.1,2.0,0.0,11.0,3.0,0.0,0.0,0.0,20.0
