Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
20/9/20,Wojciech Szczęsny,Serie A,Matchweek 1,Home,W 3–0,Juventus,Sampdoria,Y,GK,90,1,0,1,100,1,0,0,0,0,0,5,9,55.6,38,4,15.8,29.8,9,33.3,25.4,7,0,0,1,15.2
27/9/20,Wojciech Szczęsny,Serie A,Matchweek 2,Away,D 2–2,Juventus,Roma,Y,GK,90,4,2,3,75,0,2,1,1,0,0,7,7,100,41,5,17.1,24.9,4,0,17.3,5,0,0,1,16.6
25/10/20,Wojciech Szczęsny,Serie A,Matchweek 5,Home,D 1–1,Juventus,Hellas Verona,Y,GK,90,2,1,1,50,0,0.2,0,0,0,0,4,7,57.1,30,4,23.3,28.9,5,0,16.8,12,0,0,1,17.2
8/11/20,Wojciech Szczęsny,Serie A,Matchweek 7,Away,D 1–1,Juventus,Lazio,Y,GK,90,3,1,2,66.7,0,1.3,0,0,0,0,4,6,66.7,21,5,23.8,27.9,11,9.1,21.2,12,0,0,0,13.3
28/11/20,Wojciech Szczęsny,Serie A,Matchweek 9,Away,D 1–1,Juventus,Benevento,Y,GK,90,3,1,2,66.7,0,1.1,0,0,0,0,3,4,75,12,3,25,34.1,4,25,33.8,10,1,10,2,13.8
5/12/20,Wojciech Szczęsny,Serie A,Matchweek 10,Home,W 2–1,Juventus,Torino,Y,GK,90,2,1,1,50,0,0.9,0,0,0,0,0,1,0,18,2,5.6,27.7,4,0,19.3,5,1,20,1,22.5
13/12/20,Wojciech Szczęsny,Serie A,Matchweek 11,Away,W 3–1,Juventus,Genoa,Y,GK,90,2,1,1,50,0,0.6,0,0,0,0,2,2,100,27,3,7.4,25.1,1,0,14,1,0,0,1,13.2
16/12/20,Wojciech Szczęsny,Serie A,Matchweek 12,Home,D 1–1,Juventus,Atalanta,Y,GK,90,6,1,5,83.3,0,1.1,0,0,0,0,4,9,44.4,27,4,22.2,30.4,9,33.3,31.2,4,0,0,2,17.2
22/12/20,Wojciech Szczęsny,Serie A,Matchweek 14,Home,L 0–3,Juventus,Fiorentina,Y,GK,90,5,3,3,40,0,2,0,0,0,0,0,0,,25,7,0,23.8,4,0,15.3,11,0,0,0,11.5
3/1/21,Wojciech Szczęsny,Serie A,Matchweek 15,Home,W 4–1,Juventus,Udinese,Y,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,2,3,66.7,24,6,12.5,26.1,6,0,19.3,8,1,12.5,1,25.5
6/1/21,Wojciech Szczęsny,Serie A,Matchweek 16,Away,W 3–1,Juventus,Milan,Y,GK,90,8,1,7,87.5,0,1.8,0,0,0,0,4,11,36.4,32,6,31.3,33,14,7.1,20.3,7,0,0,0,10.8
10/1/21,Wojciech Szczęsny,Serie A,Matchweek 17,Home,W 3–1,Juventus,Sassuolo,Y,GK,90,2,1,1,50,0,0.9,0,0,0,0,1,3,33.3,35,5,8.6,23.7,7,0,21.3,5,0,0,1,11.8
17/1/21,Wojciech Szczęsny,Serie A,Matchweek 18,Away,L 0–2,Juventus,Inter,Y,GK,90,6,2,4,66.7,0,1.9,0,0,0,0,2,3,66.7,20,4,10,24.8,8,12.5,22.8,8,0,0,1,14.8
24/1/21,Wojciech Szczęsny,Serie A,Matchweek 19,Home,W 2–0,Juventus,Bologna,Y,GK,90,2,0,2,100,1,0,0,0,0,0,6,12,50,39,5,30.8,33.8,2,0,35,9,2,22.2,0,4.2
30/1/21,Wojciech Szczęsny,Serie A,Matchweek 20,Away,W 2–0,Juventus,Sampdoria,Y,GK,90,1,0,1,100,1,0,0,0,0,0,5,6,83.3,26,2,23.1,29.6,4,0,9.5,17,2,11.8,0,9.2
6/2/21,Wojciech Szczęsny,Serie A,Matchweek 21,Home,W 2–0,Juventus,Roma,Y,GK,90,3,0,3,100,1,0,0,0,0,0,4,10,40,42,8,16.7,26.7,13,23.1,30,11,1,9.1,0,6.2
13/2/21,Wojciech Szczęsny,Serie A,Matchweek 22,Away,L 0–1,Juventus,Napoli,Y,GK,90,1,1,1,100,0,1.1,1,1,0,0,3,4,75,25,2,16,26.3,5,0,20.6,7,0,0,2,23.6
27/2/21,Wojciech Szczęsny,Serie A,Matchweek 24,Away,D 1–1,Juventus,Hellas Verona,Y,GK,90,6,1,3,83.3,0,1.4,0,0,0,0,6,16,37.5,37,6,37.8,32.2,5,40,36.2,11,3,27.3,1,13.3
2/3/21,Wojciech Szczęsny,Serie A,Matchweek 25,Home,W 3–0,Juventus,Spezia,Y,GK,90,0,0,0,,1,0.8,1,0,1,0,3,5,60,25,2,16,26.1,5,20,23,8,1,12.5,3,28
6/3/21,Wojciech Szczęsny,Serie A,Matchweek 26,Home,W 3–1,Juventus,Lazio,Y,GK,90,4,1,3,75,0,0.8,0,0,0,0,3,6,50,22,6,18.2,31.1,10,20,29.9,9,0,0,0,11.2
14/3/21,Wojciech Szczęsny,Serie A,Matchweek 27,Away,W 3–1,Juventus,Cagliari,Y,GK,90,4,1,3,75,0,1,0,0,0,0,5,12,41.7,33,5,33.3,32.6,7,14.3,18.1,18,1,5.6,0,6
21/3/21,Wojciech Szczęsny,Serie A,Matchweek 28,Home,L 0–1,Juventus,Benevento,Y,GK,90,1,1,0,0,0,0.7,0,0,0,0,5,6,83.3,21,4,9.5,26.7,5,80,50.2,4,0,0,2,26.8
3/4/21,Wojciech Szczęsny,Serie A,Matchweek 29,Away,D 2–2,Juventus,Torino,Y,GK,90,6,2,4,66.7,0,1.2,0,0,0,0,2,3,66.7,17,6,17.6,26.6,7,0,18.3,9,2,22.2,0,10.5
