Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Passes Completed,Total Passes Attempted,Total Pass Completion Percentage,Total Distance travelled by Passes,Progressive Distance,Short Passes Completed,Short Passes Attempted,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attempted,Long Passes Completion Percentage,Assists,Expected Assist,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Shot-Creating Action,Completed Live-Passes that lead to shot attempt,Completed Dead-Passes that lead to shot attempt,Successful Dribbles that lead to shot attempt,Shot that lead to another shot attempt,Fouls drawn that lead to shot attempt,Defensive Actions that lead to shot attempt,Goal-Creating Action,Completed Live-Passes that lead to Goal,Completed Dead-Passes that lead to Goal,Successful Dribbles that lead to Goal,Shot that lead to another Goal,Fouls drawn that lead to Goal,Defensive Actions that lead to Goal,Actions that lead to opponent scoring own goal,Number of players tackled,Tackles Won,Tackles won in Defensive Third,Tackles won in Midfield Third,Tackles won in Attack Third,Number of Dribblers tackled,Dribbles contested,Percentage of dribblers tackled,Number of times dribbled past,Pressures,Successful Pressures,Successful Pressure Percentage,Number of times applying pressures in Defensive third,Number of times applying pressures in Midfield third,Number of times applying pressures in Attacking third,Number of times blocking the ball by standing in its path,Number of times blocking a shot by standing in its path,"Number of times blocking a shot that was on target, by standing in its path",Number of times blocking a pass by standing in its path,Interceptions,Number of players tackled plus number of interceptions,Clearances,Errors leading to an opponent's shot,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Midfield Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Dribbles completed successfully,Dribbles attempted,Percentage of Dribbles completed successfully,Number of players dribbled past,Nutmegs,Carries,Total Distance Carried,Progressive Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received Percentage
2020-09-26,Tete Morente,Matchweek 3,Home,L 0–3,Elche,Real Sociedad,Y,"RW,LW,RM",90.0,20.0,26.0,76.9,302.0,82.0,11.0,14.0,78.6,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,15.0,5.0,33.3,7.0,4.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,44.0,6.0,18.0,22.0,8.0,0.0,44.0,3.0,3.0,100.0,3.0,0.0,21.0,104.0,55.0,2.0,0.0,0.0,1.0,2.0,37.0,28.0,75.7
2020-09-30,Tete Morente,Matchweek 4,Away,W 1–0,Elche,Eibar,Y,"LW,FW",90.0,25.0,30.0,83.3,366.0,104.0,14.0,16.0,87.5,9.0,10.0,90.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,6.0,31.6,5.0,9.0,5.0,4.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,49.0,2.0,14.0,25.0,16.0,3.0,49.0,3.0,5.0,60.0,3.0,1.0,26.0,188.0,133.0,6.0,4.0,1.0,3.0,3.0,42.0,30.0,71.4
2020-10-03,Tete Morente,Matchweek 5,Home,D 0–0,Elche,Huesca,Y,"CM,AM",90.0,31.0,38.0,81.6,410.0,76.0,18.0,19.0,94.7,10.0,14.0,71.4,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,3.0,0.0,3.0,23.0,9.0,39.1,5.0,14.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,56.0,0.0,12.0,40.0,11.0,0.0,54.0,3.0,4.0,75.0,3.0,0.0,39.0,162.0,74.0,3.0,1.0,0.0,2.0,5.0,49.0,42.0,85.7
2020-10-18,Tete Morente,Matchweek 6,Away,W 2–0,Elche,Alavés,Y,RW,89.0,24.0,31.0,77.4,396.0,105.0,13.0,15.0,86.7,9.0,12.0,75.0,2.0,3.0,66.7,1.0,0.2,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,3.0,27.3,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,5.0,25.0,11.0,4.0,39.0,0.0,1.0,0.0,0.0,0.0,21.0,110.0,62.0,3.0,1.0,0.0,1.0,2.0,51.0,32.0,62.7
2020-10-23,Tete Morente,Matchweek 7,Home,W 2–1,Elche,Valencia,N,RW,45.0,6.0,11.0,54.5,139.0,24.0,0.0,0.0,,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,5.0,8.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,12.0,50.0,12.0,1.0,0.0,0.0,2.0,0.0,13.0,9.0,69.2
2020-11-06,Tete Morente,Matchweek 9,Home,D 1–1,Elche,Celta Vigo,Y,RW,90.0,21.0,33.0,63.6,280.0,55.0,12.0,16.0,75.0,8.0,10.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,28.6,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,26.0,17.0,2.0,43.0,2.0,3.0,66.7,2.0,0.0,28.0,105.0,54.0,4.0,0.0,0.0,2.0,2.0,53.0,37.0,69.8
2020-11-21,Tete Morente,Matchweek 10,Away,D 1–1,Elche,Levante,Y,LM,90.0,20.0,25.0,80.0,334.0,49.0,10.0,11.0,90.9,8.0,10.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,4.0,33.3,1.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,17.0,15.0,3.0,31.0,2.0,3.0,66.7,2.0,0.0,29.0,123.0,86.0,6.0,0.0,0.0,1.0,0.0,35.0,28.0,80.0
2020-11-28,Tete Morente,Matchweek 11,Home,D 1–1,Elche,Cádiz,Y,RW,90.0,23.0,28.0,82.1,411.0,100.0,14.0,15.0,93.3,5.0,6.0,83.3,4.0,7.0,57.1,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,17.0,6.0,35.3,8.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,38.0,2.0,7.0,27.0,7.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,30.0,127.0,38.0,4.0,0.0,0.0,2.0,4.0,40.0,29.0,72.5
2020-12-06,Tete Morente,Matchweek 12,Away,D 0–0,Elche,Villarreal,Y,LM,86.0,32.0,38.0,84.2,451.0,153.0,22.0,23.0,95.7,6.0,8.0,75.0,3.0,5.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,10.0,2.0,20.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,50.0,0.0,15.0,31.0,12.0,2.0,50.0,4.0,6.0,66.7,4.0,0.0,46.0,198.0,113.0,5.0,2.0,1.0,2.0,4.0,59.0,42.0,71.2
2020-12-13,Tete Morente,Matchweek 13,Home,L 0–1,Elche,Granada,Y,CM,90.0,35.0,45.0,77.8,590.0,105.0,15.0,16.0,93.8,16.0,20.0,80.0,3.0,6.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,10.0,3.0,30.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,58.0,4.0,13.0,33.0,18.0,1.0,57.0,4.0,4.0,100.0,4.0,0.0,44.0,211.0,82.0,3.0,2.0,0.0,1.0,1.0,44.0,41.0,93.2
