Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Passes Completed,Total Passes Attempted,Total Pass Completion Percentage,Total Distance travelled by Passes,Progressive Distance,Short Passes Completed,Short Passes Attempted,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attempted,Long Passes Completion Percentage,Assists,Expected Assist,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Shot-Creating Action,Completed Live-Passes that lead to shot attempt,Completed Dead-Passes that lead to shot attempt,Successful Dribbles that lead to shot attempt,Shot that lead to another shot attempt,Fouls drawn that lead to shot attempt,Defensive Actions that lead to shot attempt,Goal-Creating Action,Completed Live-Passes that lead to Goal,Completed Dead-Passes that lead to Goal,Successful Dribbles that lead to Goal,Shot that lead to another Goal,Fouls drawn that lead to Goal,Defensive Actions that lead to Goal,Actions that lead to opponent scoring own goal,Number of players tackled,Tackles Won,Tackles won in Defensive Third,Tackles won in Midfield Third,Tackles won in Attack Third,Number of Dribblers tackled,Dribbles contested,Percentage of dribblers tackled,Number of times dribbled past,Pressures,Successful Pressures,Successful Pressure Percentage,Number of times applying pressures in Defensive third,Number of times applying pressures in Midfield third,Number of times applying pressures in Attacking third,Number of times blocking the ball by standing in its path,Number of times blocking a shot by standing in its path,"Number of times blocking a shot that was on target, by standing in its path",Number of times blocking a pass by standing in its path,Interceptions,Number of players tackled plus number of interceptions,Clearances,Errors leading to an opponent's shot,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Midfield Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Dribbles completed successfully,Dribbles attempted,Percentage of Dribbles completed successfully,Number of players dribbled past,Nutmegs,Carries,Total Distance Carried,Progressive Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received Percentage
2020-10-16,Niclas Eliasson,Matchweek 7,Home,L 0–4,Nîmes,Paris S-G,Y,RW,84,10,20,50.0,132,73,8,10,80.0,1,3,33.3,1,5,20.0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,14,1,7.1,7,4,3,0,0,0,0,0,0,1,0,25,0,5,11,12,1,24,0,0,,0,0,14,45,31,2,1,0,0,1,32,20,62.5
2020-10-25,Niclas Eliasson,Matchweek 8,Away,L 0–2,Nîmes,Bordeaux,Y,LW,90,10,19,52.6,253,113,2,3,66.7,2,4,50.0,4,10,40.0,0,0.2,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,2,50.0,1,22,7,31.8,1,12,9,1,0,0,1,0,2,0,0,30,0,3,5,22,1,24,0,0,,0,0,15,32,21,2,0,1,4,2,20,13,65.0
2020-11-01,Niclas Eliasson,Matchweek 9,Home,L 0–1,Nîmes,Metz,Y,LM,90,28,47,59.6,540,188,13,14,92.9,8,11,72.7,7,19,36.8,0,0.1,2,0,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,3,3,100.0,0,8,1,12.5,2,3,3,1,0,0,1,0,3,0,0,53,0,3,16,38,4,46,1,1,100.0,1,0,36,177,100,6,4,1,0,1,51,39,76.5
2020-11-08,Niclas Eliasson,Matchweek 10,Home,L 1–5,Nîmes,Angers,Y,LW,65,11,19,57.9,149,34,6,9,66.7,4,5,80.0,0,1,0.0,0,0.2,1,0,1,1,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,10,3,30.0,3,6,1,1,0,0,1,0,0,0,0,25,0,4,10,14,1,25,1,1,100.0,1,0,16,91,40,2,0,0,2,2,30,21,70.0
2020-11-29,Niclas Eliasson,Matchweek 12,Away,L 0–3,Nîmes,Monaco,N,CM,45,10,14,71.4,203,121,4,4,100.0,4,4,100.0,2,5,40.0,0,0.1,2,2,0,0,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0.0,1,7,3,42.9,2,2,3,0,0,0,0,0,2,1,0,21,1,3,7,11,2,16,1,1,100.0,1,0,10,41,20,1,0,1,1,1,19,9,47.4
2020-12-04,Niclas Eliasson,Matchweek 13,Home,L 0–2,Nîmes,Marseille,Y,LM,89,9,17,52.9,186,90,5,6,83.3,2,3,66.7,2,7,28.6,0,0.3,1,0,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,5,4,1,3,1,0,1,0.0,1,20,6,30.0,5,10,5,3,1,0,2,3,8,2,0,34,1,9,11,15,0,31,1,1,100.0,1,0,15,77,39,1,1,0,2,2,26,13,50.0
2020-12-13,Niclas Eliasson,Matchweek 14,Away,L 0–3,Nîmes,Lorient,Y,WB,83,35,51,68.6,616,217,19,23,82.6,13,17,76.5,3,9,33.3,0,0.2,2,2,1,1,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,17,7,41.2,2,8,7,0,0,0,0,1,2,0,0,59,0,5,28,27,1,48,0,0,,0,0,31,115,41,2,1,0,2,4,48,35,72.9
2020-12-16,Niclas Eliasson,Matchweek 15,Home,L 0–2,Nîmes,Nice,Y,CM,88,21,31,67.7,421,144,9,10,90.0,6,11,54.5,5,8,62.5,0,0.5,3,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,33.3,2,10,4,40.0,0,4,6,1,0,0,1,0,1,0,0,37,2,6,7,25,3,31,1,1,100.0,1,0,24,122,63,2,0,0,1,2,36,22,61.1
2020-12-20,Niclas Eliasson,Matchweek 16,Away,D 2–2,Nîmes,Saint-Étienne,Y,LW,73,12,16,75.0,233,129,6,7,85.7,4,6,66.7,2,3,66.7,0,0.3,4,0,0,0,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,,0,13,4,30.8,6,3,4,2,0,0,2,1,3,1,0,24,0,7,6,13,1,20,1,3,33.3,1,0,12,23,13,1,0,1,0,0,22,10,45.5
2020-12-23,Niclas Eliasson,Matchweek 17,Home,L 1–3,Nîmes,Dijon,N,RB,2,1,3,33.3,10,0,1,1,100.0,0,0,,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2,0,2,0,0,,0,0,2,25,25,0,0,0,0,0,2,1,50.0
