Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG
2020-09-20,Ragnar Klavan,Matchweek 1,Away,D 1–1,Cagliari,Sassuolo,Y,CB,45,14,17,82.4,237,101,8,8,100.0,3,3,100.0,3,6,50.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,2,1,0,1,1,0,0,0,0,1,0,20,8,14,5,1,1,19,0,0,0,0,0,14,67,37,1,0,0,1,0,16,16,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-26,Ragnar Klavan,Matchweek 2,Home,L 0–2,Cagliari,Lazio,Y,CB,90,58,64,90.6,1269,370,14,17,82.4,35,36,97.2,9,11,81.8,0,0.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,100.0,0,10,3,30.0,5,5,0,2,2,0,0,0,1,4,0,72,10,45,31,0,0,72,0,0,0,0,0,47,297,138,2,0,0,0,0,56,56,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-10-04,Ragnar Klavan,Matchweek 3,Away,L 2–5,Cagliari,Atalanta,N,CB,6,3,5,60.0,60,0,1,2,50.0,1,1,100.0,1,2,50.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,4,2,0,0,5,0,0,0,0,0,2,24,5,0,0,0,0,0,3,3,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-10-18,Ragnar Klavan,Matchweek 4,Away,W 3–2,Cagliari,Torino,N,DM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-10-25,Ragnar Klavan,Matchweek 5,Home,W 4–2,Cagliari,Crotone,N,LB,10,4,5,80.0,69,9,3,4,75.0,0,0,0,1,1,100.0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,2,0,0,0,0,0,0,0,0,0,0,6,1,2,2,3,0,6,0,0,0,0,0,3,31,14,1,1,0,0,1,3,3,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-11-21,Ragnar Klavan,Matchweek 8,Away,L 0–2,Cagliari,Juventus,Y,CB,69,14,17,82.4,274,71,4,5,80.0,9,10,90.0,1,2,50.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,22.2,7,1,1,1,1,0,0,3,3,3,0,24,9,16,8,1,0,23,0,0,0,0,0,12,85,46,3,1,0,0,0,12,12,100.0,0,0,0,0,1,0,0,0,0.0,0.0
2020-11-29,Ragnar Klavan,Matchweek 9,Home,D 2–2,Cagliari,Spezia,Y,CB,90,30,43,69.8,681,173,6,12,50.0,18,18,100.0,6,11,54.5,0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13,2,15.4,8,5,0,0,0,0,0,0,1,4,0,48,8,30,22,0,0,45,0,0,0,0,0,17,82,46,0,0,0,0,0,27,26,96.3,0,0,0,0,0,0,0,0,0.0,0.0
2020-12-13,Ragnar Klavan,Matchweek 11,Home,L 1–3,Cagliari,Inter,N,RB,23,9,10,90.0,217,88,1,1,100.0,5,5,100.0,3,4,75.0,0,0.0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,4,3,75.0,1,3,0,1,1,0,0,0,1,0,0,13,0,5,7,1,0,13,0,0,0,0,0,5,19,1,0,0,0,0,0,5,5,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-12-16,Ragnar Klavan,Matchweek 12,Away,D 0–0,Cagliari,Parma,Y,CB,90,40,43,93.0,794,339,14,14,100.0,20,21,95.2,4,5,80.0,0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,50.0,1,8,3,37.5,5,3,0,3,0,0,3,0,1,8,0,57,13,37,20,1,0,56,0,0,0,0,0,25,170,77,2,0,0,0,0,36,36,100.0,0,0,0,0,1,0,0,0,0.0,0.0
2021-03-03,Ragnar Klavan,Matchweek 25,Home,W 1–0,Cagliari,Bologna,Y,CB,90,19,28,67.9,453,203,6,10,60.0,8,11,72.7,5,7,71.4,0,0.0,0,4,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,3,2,1,1,1,100.0,0,18,8,44.4,9,7,2,2,0,0,2,1,7,5,0,40,2,19,22,3,2,38,0,0,0,0,0,15,180,68,1,1,0,0,0,15,14,93.3,0,0,0,0,0,0,0,0,0.0,0.0
