Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Moussa Niakhate,CB,Marvin Friedrich,Francesco Acerbi,Edoardo Goldaniga,Armando Izzo,Rafael Tolói,David Abraham,Samir Santos,Igor Zubeldia,Takehiro Tomiyasu,Martin Hinteregger
Leandro Barreiro Martins,MF,Morten Thorsby,Baptiste Santamaria,Yangel Herrera,Dominik Kohr,Casemiro,Danny Latza,Mauro Arambarri,Lamine Fomba,Marco Parolo,Nemanja Maksimović
Niklas Moisander,CB,Loïc Bade,Jonathan Panzo,Kalidou Koulibaly,Dominique Heintz,Rafael Czichos,Steven Fortes,Wout Faes,Kevin Bonifazi,Wesley Hoedt,Jeffrey Gouweleeuw
Konstantinos Mavropanos,CB,John Brooks,Maxence Lacroix,Mats Hummels,Gleison Bremer,Wesley Fofana,Martin Hinteregger,Romain Saïss,Stefan Posch,Anaitz Arbilla,Pape Abou Cisse
Julian Ryerson,FB,Pedro Pereira,Kingsley Ehizibue,Séamus Coleman,Aarón Martín,Lucas Olaza,Matthieu Udol,Pablo Maffeo,Carlos Clerc,Christopher Lenz,Sébastien Corchia
Valentino Lazaro,FB,Erik Durm,Davide Zappacosta,Marius Wolf,Silas Wamangituka,Pol Lirola,Nahuel Molina,Ridle Baku,Mohamed Fares,Ivan Perišić,Alfonso Pedraza
Valentino Lazaro,AM,Josh Brownhill,Jóhann Berg Guðmundsson,Óscar Plano,Renaud Ripart,Marc Cucurella,Luis Rioja,Bobby Reid,Pablo Fornals,Allan Nyom,Miguel Almirón
Sebastiaan Bornauw,CB,John Egan,Sebastien De Maio,Willy Boly,Keven Schlotterbeck,Angelo Ogbonna,Tyrone Mings,Lorenzo Tonelli,Ezri Konsa,Xabier Etxeita,Joaquín Fernández
Kingsley Coman,AM,Leroy Sané,Christian Pulisic,Ruslan Malinovskyi,Sadio Mané,Riyad Mahrez,Phil Foden,Ángel Di María,Christopher Nkunku,Serge Gnabry,Samuel Chukwueze
Raphaël Guerreiro,FB,Leonardo Spinazzola,Trent Alexander-Arnold,Achraf Hakimi,Jordi Alba,Juan Cuadrado,Angeliño,Lucas Vázquez,Darko Lazović,Bruno Peres,Federico Dimarco
David Alaba,CB,Alessandro Bastoni,Bryan Cristante,Emre Can,Marcel Halstenberg,Óscar Mingueza,Igor Zubeldia,Mario Hermoso,Berat Djimsiti,César Azpilicueta,Francesco Acerbi
David Alaba,MF,Jordan Henderson,Granit Xhaka,Matteo Ricci,Harry Winks,Bryan Cristante,Leandro Paredes,Martín Zubimendi,Pierre Højbjerg,Steven Nzonzi,Fernandinho
Iago,FB,Juan Miranda,Luke Thomas,Theodor Gebre Selassie,Oscar Wendt,Rubén Duarte,Lucas Olaza,Sébastien Corchia,Thierry Correia,Ander Capa,Kingsley Ehizibue
Christopher Trimmel,FB,Miguel Trauco,Vladimír Coufal,Aaron Cresswell,Marvin Plattenhardt,Djibril Sidibé,Lucas Olaza,Raphael Framberger,Rafa Soares,Bastian Oczipka,Conor Townsend
Tanguy Coulibaly,FB,Silas Wamangituka,Yannick Carrasco,Davide Zappacosta,Ivan Perišić,Solly March,Achraf Hakimi,Ridle Baku,Marius Wolf,Filip Kostić,Sergiño Dest
Mats Hummels,CB,Willi Orban,John Brooks,Niklas Süle,Gianluca Mancini,Gleison Bremer,Martin Hinteregger,Jannik Vestergaard,Diego Godín,Wesley Fofana,Konstantinos Mavropanos
Jonathan Burkardt,FW,Richarlison,Joelinton,David McGoldrick,Josh Sargent,Danny Ings,Lucas Boyé,Eldor Shomurodov,Lucas Höler,Ondrej Duda,Romain Hamouma
Jonathan Burkardt,AM,Trézéguet,Richarlison,Denis Bouanga,Robin Quaison,Édgar Méndez,Dodi Lukebakio,Ander Barrenetxea,Bobby Reid,Theo Walcott,João Pedro
