Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Tete Morente,AM,Luis Rioja,Yunus Musah,Salvi,Allan Nyom,Óscar Plano,Jóhann Berg Guðmundsson,Antonio Puertas,Aitor Ruibal,Kenedy,Josh Brownhill
Nemanja Gudelj,MF,Iván Marcone,Pedro Mosquera,Rodrigo Battaglia,Dani García,Moussa Sissoko,Yan Brice Eteki,Nemanja Radoja,Étienne Capoue,Marshall Munetsi,José Mari
Nemanja Maksimović,MF,Josh Brownhill,Lucas Tousart,Papakouli Diop,Mauro Arambarri,Jens Jønsson,Rani Khedira,Tobias Strobl,Ibrahim Amadou,Lucas Torró,Jon Moncayola
Sergio Gómez,AM,Andros Townsend,Daniel Caligiuri,Dwight McNeil,Alexis Saelemaekers,Jean-Paul Boëtius,Marc Cucurella,Mikkel Damsgaard,Ridle Baku,Alberto Perea,Alex Iwobi
Ángel Correa,FW,Iago Aspas,Roberto Firmino,Ihlas Bebou,Amine Gouiri,Alexis Sánchez,Yussuf Poulsen,Antoine Griezmann,Musa Barrow,Wilfried Zaha,Romain Hamouma
Ángel Correa,AM,Daichi Kamada,Marco Reus,Martin Terrier,Son Heung-min,Bukayo Saka,Gio Reyna,Rodrygo,Jorge de Frutos,Yoane Wissa,Jack Harrison
Jaime Mata,FW,Fabian Klos,Oliver McBurnie,Habib Diallo,Sebastian Andersson,Roberto Soldado,Maxi Gómez,Kike,Luuk de Jong,Sergi Enrich,Joselu
Marcos Llorente,FB,Silas Wamangituka,Yannick Carrasco,Achraf Hakimi,Ridle Baku,Lucas Vázquez,Davide Zappacosta,Filip Kostić,Ashley Young,Angeliño,Bruno Peres
Marcos Llorente,MF,Gaetano Castrovilli,Nolito,Alexis Claude-Maurice,Florian Wirtz,Christoph Baumgartner,Lorenzo Pellegrini,Weston McKennie,Giacomo Bonaventura,Elvis Rexhbeçaj,Mason Mount
Marcos Llorente,FW,Ondrej Duda,Ángel Correa,Junior Messias,Jordan Ayew,Franck Ribéry,Joelinton,Musa Barrow,Yussuf Poulsen,Iago Aspas,Wilfried Zaha
Marcos Llorente,AM,Jorge de Frutos,Renato Steffen,Lucas Moura,Jack Harrison,Franck Honorat,Daichi Kamada,Alexis Saelemaekers,Jonas Hofmann,Gelson Martins,Miguel Almirón
Rubén Alcaraz,MF,Jon Moncayola,Lucas Tousart,Guido Rodríguez,Albin Ekdal,Marco Parolo,Saúl Ñíguez,Mauro Arambarri,Lamine Fomba,Yangel Herrera,Ibrahim Amadou
Son,FB,Pervis Estupiñán,Leo Dubois,Álex Moreno,Jérôme Roussillon,Danny da Costa,Renan Lodi,Héctor Bellerín,Jonathan Schmid,Yuri Berchiche,Patrick van Aanholt
