Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Ragnar Klavan,CB,Luca Marrone,Sebastian Walukiewicz,Pablo Insua,Wesley Hoedt,Bram Nuytinck,Dylan Bronn,Daniel Congré,Vladimir Golemić,Simone Iacoponi,Jonathan Panzo
Lisandro Magallán,CB,Edoardo Goldaniga,Sebastiano Luperto,Ismaël Traoré,Domingos Duarte,Daniele Rugani,Mason Holgate,José Luis Palomino,Simon Kjær,Moussa Niakhate,Igor Zubeldia
Wojciech Szczęsny,GK,Pau López,Samir Handanović,Anthony Lopes,Aitor Fernández,Antonio Mirante,Péter Gulácsi,Álex Remiro,Ederson,Bernd Leno,Andrea Consigli
Weston McKennie,MF,Brais Méndez,Giulio Maggiore,Marcos Llorente,Jude Bellingham,Mattias Svanberg,Juraj Kucka,Christoph Baumgartner,Gaetano Castrovilli,Arturo Vidal,Antonín Barák
Weston McKennie,AM,Sofiane Diop,Antonín Barák,Marc Cucurella,Renato Steffen,Daniel Caligiuri,Samu Castillejo,Adrien Thomasson,Alexis Saelemaekers,Niclas Eliasson,Renaud Ripart
Antonín Barák,MF,Roberto Gagliardini,Christoph Baumgartner,Gaetano Castrovilli,Lorenzo Pellegrini,Sergej Milinković-Savić,Nolito,Gonzalo Melero,Mikel Merino,Weston McKennie,Jordan Veretout
Antonín Barák,AM,Matteo Pessina,Roberto Soriano,Sofiane Diop,Bobby Reid,Manu Trigueros,Nathanael Mbuku,Samu Castillejo,Pablo Fornals,Ruben Loftus-Cheek,Édgar Méndez
Ivan Radovanović,CB,Jesús Vallejo,Bram Nuytinck,Bruno González,Nicolas Nkoulou,Joakim Nilsson,Ciaran Clark,Wout Faes,Djené,Keven Schlotterbeck,Daniel Congré
Manuel Lazzari,FB,Bruno Peres,Davide Zappacosta,Leonardo Spinazzola,Pol Lirola,Ashley Young,José Luis Gayà,Darko Lazović,Tariq Lamptey,Hans Hateboer,Héctor Bellerín
Simone Verdi,MF,Piotr Zieliński,Houssem Aouar,Nadiem Amiri,Alexis Claude-Maurice,Giacomo Bonaventura,Florian Wirtz,Sergio Canales,Rodrigo De Paul,Kevin De Bruyne,Lorenzo Pellegrini
Simone Verdi,FW,Lucas Pérez,Franck Ribéry,Musa Barrow,João Félix,Iago Aspas,Alassane Pléa,Ondrej Duda,Dries Mertens,Wissam Ben Yedder,Joaquín Correa
Simone Verdi,AM,Farid Boulaya,James Maddison,Vincenzo Grifo,Federico Bernardeschi,Roberto Insigne,Adnan Januzaj,Filip Đuričić,Pedro,Mikel Oyarzabal,Florian Thauvin
Andrea Petagna,FW,Romelu Lukaku,Sehrou Guirassy,Burak Yılmaz,Iñaki Williams,Aleksandar Mitrović,Ciro Immobile,Rodrigo Palacio,Luis Suárez,João Pedro,André Silva
Eddy Salcedo,AM,João Pedro,Anwar El Ghazi,Roland Sallai,Pierre-Emerick Aubameyang,Richarlison,José Luis Morales,Gaëtan Laborde,Yoane Wissa,Harvey Barnes,Marcus Thuram
Franck Kessié,MF,Adrien Rabiot,Ivan Rakitić,Gonzalo Melero,Manuel Locatelli,Federico Valverde,Abdoulaye Touré,Stuart Dallas,Axel Witsel,Florian Grillitsch,Roberto Gagliardini
Gaetano Castrovilli,MF,Marcos Llorente,Alexis Claude-Maurice,Brais Méndez,Giacomo Bonaventura,Nahitan Nández,Florian Wirtz,Juraj Kucka,Giulio Maggiore,Antonín Barák,Lorenzo Pellegrini
Francesco Magnanelli,MF,Pedro Mosquera,Iván Marcone,Nemanja Gudelj,Morgan Schneiderlin,Dani García,Moussa Sissoko,Didier Ibrahim Ndong,Haris Belkebla,Christoph Kramer,Nemanja Radoja
Mattia Bani,CB,Giangiacomo Magnani,Boubakar Kouyaté,Alexander Djiku,Sebastien De Maio,Omar Colley,Felipe,Pascal Struijk,Keven Schlotterbeck,Gleison Bremer,Ozan Kabak
Bartłomiej Drągowski,GK,Fernando Pacheco,Lorenzo Montipò,Paul Bernardoni,Steve Mandanda,Vicente Guaita,Jean-Louis Leca,Anthony Racioppi,Matthieu Dreyer,Aaron Ramsdale,Joel Robles
Denis Vavro,CB,Iñigo Martínez,Joachim Andersen,Timothée Kolodziejczak,Lyanco,Andrea Masiello,Jorge Pulido,Jérémy Morel,Tosin Adarabioyo,Stefan Savić,Toby Alderweireld
Andrea Pinamonti,FW,Kike,Ángel Rodríguez,Enes Ünal,Lois Diony,Sergi Guardiola,Mama Samba Baldé,Jaime Mata,Ante Budimir,Sergi Enrich,M'Bala Nzola
Gianluigi Donnarumma,GK,Bernd Leno,Edouard Mendy,Marwin Hitz,Roman Bürki,Marc-André ter Stegen,David Ospina,Anthony Lopes,Pau López,Lukáš Hrádecký,Andreas Luthe
Kevin Lasagna,FW,Giovanni Simeone,Stéphane Bahoken,Irvin Cardona,Jhon Córdoba,Simone Zaza,Gianluca Lapadula,Arkadiusz Milik,Hwang Ui-jo,Fabio Quagliarella,Danny Welbeck
Mitchell Dijks,FB,Alejandro Pozo Pozo,Jordan Lotomba,Yuto Nagatomo,Thomas Foket,Aarón Martín,Jamal Lewis,Dimitri Foulquier,Aihen Muñoz,Cédric Brunner,Bartosz Bereszyński
Antonio Sanabria,FW,Luuk de Jong,Alexandre Lacazette,Mama Samba Baldé,Krzysztof Piątek,Josh Maja,Danny Welbeck,Santi Mina,Moussa Koné,Eldor Shomurodov,Giovanni Simeone
Giorgos Kiriakopoulos,FB,Nélson Semedo,Adrien Truffert,Hassane Kamara,Dani Carvajal,James Justin,Mert Müldür,Rayan Aït Nouri,Rogério,Yuri Berchiche,Álex Moreno
Juan Cuadrado,FB,Raphaël Guerreiro,Lucas Vázquez,Marcelo,Theo Hernández,João Cancelo,Thomas Meunier,Luke Shaw,Leo Dubois,Trent Alexander-Arnold,Giovanni Di Lorenzo
Juan Cuadrado,AM,Joaquín,Denis Suárez,Romain Faivre,Alex Iwobi,Willian,Papu Gómez,Sergio Canales,Antonio Candreva,Ridle Baku,Federico Bernardeschi
Mário Rui,FB,Patrick van Aanholt,Marcos Acuña,Leo Dubois,Romain Perraud,Alex Sandro,Giovanni Di Lorenzo,Luke Shaw,Reece James,Cédric Soares,Jesús Navas
Vedat Muriqi,FW,Christian Benteke,Sebastian Andersson,Joselu,Steve Mounié,Kike,Irvin Cardona,Sasa Kalajdzic,Sergi Enrich,Aleksandar Mitrović,Florian Sotoca
Jordan Lukaku,FB,Kenny Lala,Caio Henrique Oliveira Silva,Cristian Ansaldi,Giuseppe Pezzella,Tariq Lamptey,Jesús Navas,Gabriele Zappa,Marvin Plattenhardt,Jérôme Roussillon,Christian Günter
Mehdi Bourabia,MF,Thomas Partey,Pape Gueye,Scott McTominay,Wataru Endo,Florian Grillitsch,Oriol Romeu,Rúben Neves,James Ward-Prowse,Tyler Adams,Bryan Cristante
Marco Silvestri,GK,Jordi Masip,Eiji Kawashima,Jaume Doménech,Rui Patrício,Mattia Perin,Łukasz Fabiański,Karl Darlow,Unai Simón,Jeremías Ledesma,Martin Dúbravka
Alex Sandro,FB,Hamari Traoré,Giovanni Di Lorenzo,Danilo,Benjamin Pavard,Mário Rui,Yuri Berchiche,Junior Sambia,Thomas Meunier,Oleksandr Zinchenko,Theo Hernández
Sandro Tonali,MF,John Fleck,Thomas Mangani,Douglas Luiz,João Moutinho,Pasquale Schiattarella,Ashley Westwood,Gastón Brugman,Kevin Kampl,Erick Pulgar,Miguel Veloso
Borja Valero,AM,Moi Gómez,Pablo Fornals,Manu Trigueros,Miguel Almirón,Denis Suárez,Stuart Armstrong,Eberechi Eze,Martin Ødegaard,Iker Muniain,Mathieu Cafaro
